,index,CIK,Date first added,Founded,GICS Sub Industry,GICS Sector,Headquarters Location,SEC filings,Security
118,DHI,882184,0,1978,Homebuilding,Consumer Discretionary,"Fort Worth, Texas",reports,D. R. Horton
119,DHR,313616,0,1969,Health Care Equipment,Health Care,"Washington, D.C.",reports,Danaher Corp.
120,DRI,940944,0,1938,Restaurants,Consumer Discretionary,"Orlando, Florida",reports,Darden Restaurants
121,DVA,927066,7/31/2008,0,Health Care Facilities,Health Care,"Denver, Colorado",reports,DaVita Inc.
122,DE,315189,0,1837,Agricultural & Farm Machinery,Industrials,"Moline, Illinois",reports,Deere & Co.
123,DAL,27904,9/11/2013,0,Airlines,Industrials,"Atlanta, Georgia",reports,Delta Air Lines Inc.
124,XRAY,818479,11/14/2008,0,Health Care Supplies,Health Care,"York, Pennsylvania",reports,Dentsply Sirona
125,DVN,1090012,8/30/2000,0,Oil & Gas Exploration & Production,Energy,"Oklahoma City, Oklahoma",reports,Devon Energy
126,DLR,1297996,5/18/2016,0,Specialized REITs,Real Estate,"San Francisco, California",reports,Digital Realty Trust Inc
127,DFS,1393612,7/2/2007,0,Consumer Finance,Financials,"Riverwoods, Illinois",reports,Discover Financial Services
128,DISCA,1437107,3/1/2010,0,Broadcasting,Communication Services,"Silver Spring, Maryland",reports,Discovery Inc. Class A
129,DISCK,1437107,8/7/2014,0,Broadcasting,Communication Services,"Silver Spring, Maryland",reports,Discovery Inc. Class C
130,DISH,1001082,3/13/2017,0,Cable & Satellite,Communication Services,"Meridian, Colorado",reports,Dish Network
131,DG,29534,12/3/2012,0,General Merchandise Stores,Consumer Discretionary,"Goodlettsville, Tennessee",reports,Dollar General
132,DLTR,935703,12/19/2011,0,General Merchandise Stores,Consumer Discretionary,"Chesapeake, Virginia",reports,Dollar Tree
133,D,715957,0,1983,Electric Utilities,Utilities,"Richmond, Virginia",reports,Dominion Energy
134,DOV,29905,10/31/1985,0,Industrial Machinery,Industrials,"Downers Grove, Illinois",reports,Dover Corp.
135,DTE,936340,0,1995,Multi-Utilities,Utilities,"Detroit, Michigan",reports,DTE Energy Co.
136,DD,1666700,0,2017,Specialty Chemicals,Materials,"Midland, Michigan",reports,DuPont de Nemours Inc
137,DUK,1326160,6/30/1976,0,Electric Utilities,Utilities,"Charlotte, North Carolina",reports,Duke Energy
138,DXC,1688568,4/4/2017,2017,IT Consulting & Other Services,Information Technology,"Tysons Corner, Virginia",reports,DXC Technology
139,ETFC,1015780,3/31/2004,0,Investment Banking & Brokerage,Financials,"New York, New York",reports,E*Trade
140,EMN,915389,1/1/1994,0,Diversified Chemicals,Materials,"Kingsport, Tennessee",reports,Eastman Chemical
141,ETN,1551182,0,1911,Electrical Components & Equipment,Industrials,"Dublin, Ireland",reports,Eaton Corporation
142,EBAY,1065088,0,1995,Internet & Direct Marketing Retail,Consumer Discretionary,"San Jose, California",reports,eBay Inc.
143,ECL,31462,1/31/1989,0,Specialty Chemicals,Materials,"St. Paul, Minnesota",reports,Ecolab Inc.
144,EIX,827052,0,1886,Electric Utilities,Utilities,"Rosemead, California",reports,Edison Int'l
145,EW,1099800,4/1/2011,0,Health Care Equipment,Health Care,"Irvine, California",reports,Edwards Lifesciences
146,EA,712515,7/22/2002,0,Interactive Home Entertainment,Communication Services,"Redwood City, California",reports,Electronic Arts
147,EMR,32604,3/31/1965,1890,Electrical Components & Equipment,Industrials,"Ferguson, Missouri",reports,Emerson Electric Company
148,ETR,65984,0,1913,Electric Utilities,Utilities,"New Orleans, Louisiana",reports,Entergy Corp.
149,EOG,821189,11/2/2000,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,EOG Resources
