,CIK,Date first added,Founded,Sub Sector,Sector,Headquarters Location,SEC filings,Security,Gold,Intercept,M_Index,NaturalGas,Oil,Group
DOV,29905,10/31/1985,0,Industrial Machinery,Industrials,"Downers Grove, Illinois",reports,Dover Corp.,0.0,0.0,0.9983021412548458,0.0,0.03859991535537953,0
DTE,936340,0,1995,Multi-Utilities,Utilities,"Detroit, Michigan",reports,DTE Energy Co.,0.1823219618483426,0.0,0.190789513699489,0.0,0.0,1
DD,1666700,0,2017,Specialty Chemicals,Materials,"Midland, Michigan",reports,DuPont de Nemours Inc,0.0,0.0,1.1976635118064762,0.0,0.0,0
DUK,1326160,6/30/1976,0,Electric Utilities,Utilities,"Charlotte, North Carolina",reports,Duke Energy,0.13585632833804814,0.0,0.17144773413605174,0.0,0.0,1
DXC,1688568,4/4/2017,2017,IT Consulting & Other Services,Information Technology,"Tysons Corner, Virginia",reports,DXC Technology,0.0,0.0,1.1942158448249878,0.0,0.0,0
ETFC,1015780,3/31/2004,0,Investment Banking & Brokerage,Financials,"New York, New York",reports,E*Trade,-0.42276197484568895,0.0,1.2500728864141206,0.0,0.0,6
EMN,915389,1/1/1994,0,Diversified Chemicals,Materials,"Kingsport, Tennessee",reports,Eastman Chemical,0.0,0.0,1.1133993631420285,0.0,0.0,0
ETN,1551182,0,1911,Electrical Components & Equipment,Industrials,"Dublin, Ireland",reports,Eaton Corporation,0.0,0.0,1.0663606722462935,0.0,0.0,0
EBAY,1065088,0,1995,Internet & Direct Marketing Retail,Consumer Discretionary,"San Jose, California",reports,eBay Inc.,0.0,0.0,0.9610091191079784,0.0,0.0,0
ECL,31462,1/31/1989,0,Specialty Chemicals,Materials,"St. Paul, Minnesota",reports,Ecolab Inc.,0.0,0.0,0.7742312325423586,0.0,0.0,1
EIX,827052,0,1886,Electric Utilities,Utilities,"Rosemead, California",reports,Edison Int'l,0.2929588943480692,0.0,0.4665696118663947,0.0,0.0,1
EW,1099800,4/1/2011,0,Health Care Equipment,Health Care,"Irvine, California",reports,Edwards Lifesciences,0.0,0.0,1.1943687394537763,0.0,0.0,0
EA,712515,7/22/2002,0,Interactive Home Entertainment,Communication Services,"Redwood City, California",reports,Electronic Arts,0.0,0.0,1.18107041855268,0.0,0.0,0
EMR,32604,3/31/1965,1890,Electrical Components & Equipment,Industrials,"Ferguson, Missouri",reports,Emerson Electric Company,0.0,0.0,1.121978234959444,0.0,0.0,0
ETR,65984,0,1913,Electric Utilities,Utilities,"New Orleans, Louisiana",reports,Entergy Corp.,0.15583726310763427,0.0,0.25425106271867776,0.0,0.0,1
EOG,821189,11/2/2000,0,Oil & Gas Exploration & Production,Energy,"Houston, Texas",reports,EOG Resources,0.0,0.0,1.028770377646553,0.0,0.09543675077981267,3
EFX,33185,6/19/1997,0,Research & Consulting Services,Industrials,"Atlanta, Georgia",reports,Equifax Inc.,0.0,0.0,0.7712749422973894,0.0,0.0,1
EQIX,1101239,3/20/2015,0,Specialized REITs,Real Estate,"Redwood City, California",reports,Equinix,0.0,0.0,0.6330548739897611,0.0,0.0,1
EQR,906107,12/3/2001,0,Residential REITs,Real Estate,"Chicago, Illinois",reports,Equity Residential,0.0,0.0,0.4521756305848248,0.0,0.0,1
ESS,920522,4/2/2014,0,Residential REITs,Real Estate,"Palo Alto, California",reports,"Essex Property Trust, Inc.",0.15116422456821751,0.0,0.4185798894603924,0.0,-0.02326361898539419,1
EL,1001250,1/5/2006,0,Personal Products,Consumer Staples,"New York, New York",reports,Estee Lauder Cos.,0.0,0.0,0.8614508021219687,0.0,0.0,0
ES,72741,0,1966,Multi-Utilities,Utilities,"Springfield, Massachusetts",reports,Eversource Energy,0.1815438986898857,0.0,0.2463650299968244,0.0,0.0,1
RE,1095073,6/19/2017,0,Reinsurance,Financials,"Hamilton, Bermuda",reports,Everest Re Group Ltd.,-0.14234336154539795,0.0,0.5627011596966217,0.0,0.0,1
EXC,1109357,0,2000,Multi-Utilities,Utilities,"Chicago, Illinois",reports,Exelon Corp.,0.1744668393190861,0.0,0.2996513407393763,0.0,0.022464453489498208,1
EXPE,1324424,10/2/2007,0,Internet & Direct Marketing Retail,Consumer Discretionary,"Bellevue, Washington",reports,Expedia Group,0.0,0.0,0.8038108116335353,0.0,0.0,0
EXPD,746515,10/10/2007,0,Air Freight & Logistics,Industrials,"Seattle, Washington",reports,Expeditors,0.0,0.0,0.924934512004973,0.0,0.0,0
EXR,1289490,1/19/2016,0,Specialized REITs,Real Estate,"Salt Lake City, Utah",reports,Extra Space Storage,0.24519478758944466,0.0,0.384732012147322,0.0,-0.026026100565349833,1
XOM,34088,0,1999,Integrated Oil & Gas,Energy,"Irving, Texas",reports,Exxon Mobil Corp.,0.0,-0.0006613365876227249,0.7939678332221958,0.0,0.05287500352191299,3
