,CIK,Date first added,Founded,Sub Sector,Sector,Headquarters Location,SEC filings,Security,Gold,Intercept,M_Index,NaturalGas,Oil,Group
PPL,922224,0,0,Electric Utilities,Utilities,"Allentown, Pennsylvania",reports,PPL Corp.,0.1966001179406041,0.0,0.27259759056717314,0.0,0.0,1
PFG,1126328,7/22/2002,0,Life & Health Insurance,Financials,"Des Moines, Iowa",reports,Principal Financial Group,-0.1624381632056101,0.0,1.162275645521371,0.0,0.0,0
PG,80424,0,1837,Personal Products,Consumer Staples,"Cincinnati, Ohio",reports,Procter & Gamble,0.0,0.0,0.4558107659801354,0.0,0.0,1
PGR,80661,8/4/1997,0,Property & Casualty Insurance,Financials,"Mayfield Village, Ohio",reports,Progressive Corp.,-0.15862633680596022,0.0008308367414045019,0.8246039850973563,0.0,0.0,7
PLD,1045609,7/17/2003,0,Industrial REITs,Real Estate,"San Francisco, California",reports,Prologis,0.19007104640808967,0.0,0.7315691072417184,0.0,0.0,1
PRU,1137774,7/22/2002,0,Life & Health Insurance,Financials,"Newark, New Jersey",reports,Prudential Financial,-0.3856858976620457,0.0,1.1790622381461917,0.0,0.0,6
PEG,788784,0,0,Electric Utilities,Utilities,"Newark, New Jersey",reports,Public Serv. Enterprise Inc.,0.17526165089782475,0.0,0.2745723692895281,0.0,0.0,1
PSA,1393311,8/19/2005,0,Specialized REITs,Real Estate,"Glendale, California",reports,Public Storage,0.16842865546861968,0.0,0.3072740359275378,0.0,-0.02410660756387633,1
PHM,822416,4/30/1984,0,Homebuilding,Consumer Discretionary,"Atlanta, Georgia",reports,PulteGroup,0.19699587797189266,0.0,0.8672693740787691,0.0,0.0,1
PVH,78239,2/15/2013,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"New York, New York",reports,PVH Corp.,0.0,0.0,1.0264717585372285,0.0,0.0,0
QRVO,1604778,6/11/2015,2015,Semiconductors,Information Technology,"Greensboro, North Carolina",reports,Qorvo,0.0,0.0,1.4660010012850864,0.0,0.0,0
PWR,1050915,7/1/2009,0,Construction & Engineering,Industrials,"Houston, Texas",reports,Quanta Services Inc.,0.0,0.0,1.1655799899672228,0.0,0.0,0
QCOM,804328,0,1985,Semiconductors,Information Technology,"San Diego, California",reports,QUALCOMM Inc.,0.0,0.0,1.1131899569977126,0.0,0.0,0
DGX,1022079,12/12/2002,0,Health Care Services,Health Care,"Madison, New Jersey",reports,Quest Diagnostics,0.0,0.0,0.7675401543671564,0.0,0.0,1
RJF,720005,3/20/2017,0,Investment Banking & Brokerage,Financials,"St. Petersburg, Florida",reports,Raymond James Financial Inc.,-0.32490603488683983,0.0,1.2880579389183269,0.0,-0.023354419364034547,6
RTN,1047122,0,1922,Aerospace & Defense,Industrials,"Waltham, Massachusetts",reports,Raytheon Co.,0.0,0.0,0.8204813223907035,0.0,0.0,0
O,726728,4/7/2015,0,Retail REITs,Real Estate,"San Diego, California",reports,Realty Income Corporation,0.3235852988293884,0.0,0.4650794242948227,0.0,0.0,1
REG,910606,3/2/2017,0,Retail REITs,Real Estate,"Jacksonville, Florida",reports,Regency Centers Corporation,0.23252351727038295,0.0,0.4940304549099944,0.0,0.0,1
REGN,872589,5/1/2013,0,Biotechnology,Health Care,"Tarrytown, New York",reports,Regeneron Pharmaceuticals,0.0,0.0,1.130131773267235,0.0,0.0,0
RF,1281761,8/28/1998,0,Regional Banks,Financials,"Birmingham, Alabama",reports,Regions Financial Corp.,-0.5309120939634465,0.0,1.086646666690987,0.0,0.0,6
RSG,1060391,12/5/2008,0,Environmental & Facilities Services,Industrials,"Phoenix, Arizona",reports,Republic Services Inc,0.0,0.0,0.5781969278539271,0.0,0.0,1
RHI,315213,12/5/2000,0,Human Resource & Employment Services,Industrials,"Menlo Park, California",reports,Robert Half International,-0.3056969365247018,0.0,1.2947338586959978,0.0,0.0,6
ROK,1024478,0,0,Electrical Components & Equipment,Industrials,"Milwaukee, Wisconsin",reports,Rockwell Automation Inc.,-0.13351121891467613,0.0,1.2289382545129277,0.0,0.0,0
ROST,745732,12/21/2009,0,Apparel Retail,Consumer Discretionary,"Pleasanton, California",reports,Ross Stores,0.0,0.0,0.8847803130931486,0.0,0.0,0
RCL,884887,12/5/2014,0,"Hotels, Resorts & Cruise Lines",Consumer Discretionary,"Miami, Florida",reports,Royal Caribbean Cruises Ltd,-0.1757149479287627,0.0,1.226261825650475,0.0,-0.03827440357117101,6
CRM,1108524,9/15/2008,0,Application Software,Information Technology,"San Francisco, California",reports,Salesforce.com,0.0,0.0,1.4461064003945268,0.0,-0.03984121259962594,0
STX,1137789,7/2/2012,0,"Technology Hardware, Storage & Peripherals",Information Technology,"Dublin, Ireland",reports,Seagate Technology,0.0,0.0,1.3942687354172814,0.0,0.0,0
SEE,1012100,0,0,Paper Packaging,Materials,"Elmwood Park, New Jersey",reports,Sealed Air,0.0,0.0,0.7829269651641183,0.0,-0.03454569474622006,1
SRE,1032208,0,0,Multi-Utilities,Utilities,"San Diego, California",reports,Sempra Energy,0.27230071448911225,0.0,0.3424874878009531,0.0,0.0,1
SHW,89800,6/30/1964,1866,Specialty Chemicals,Materials,"Cleveland, Ohio",reports,Sherwin-Williams,0.0,0.0,0.9374343430523092,0.0,0.0,0
SPG,1063761,6/26/2002,2003,Retail REITs,Real Estate,"Indianapolis, Indiana",reports,Simon Property Group Inc,0.0,0.0,0.5138408418787181,0.0,0.0,1
SWKS,4127,3/12/2015,0,Semiconductors,Information Technology,"Woburn, Massachusetts",reports,Skyworks Solutions,0.0,0.0,1.4530261244443674,0.0,0.0,0
SLG,1040971,3/20/2015,0,Office REITs,Real Estate,"New York, New York",reports,SL Green Realty,0.0,0.0,0.7072788055384781,0.0,0.0,1
SNA,91440,9/30/1982,1920,Industrial Machinery,Industrials,"Kenosha, Wisconsin",reports,Snap-on,-0.15529163351499733,0.0,0.9325595438489612,0.0,0.0,0
SO,92122,0,0,Electric Utilities,Utilities,"Atlanta, Georgia",reports,Southern Co.,0.11866259139046095,0.0,0.16523527687641956,0.0,0.0,1
LUV,92380,7/1/1994,0,Airlines,Industrials,"Dallas, Texas",reports,Southwest Airlines,-0.32391043797151303,0.0,0.9238102247351604,0.0,0.0,6
SPGI,64040,0,0,Financial Exchanges & Data,Financials,"New York, New York",reports,"S&P Global, Inc.",0.0,0.0,1.088767813155934,0.0,-0.02088293928445941,0
SWK,93556,9/30/1982,0,Industrial Machinery,Industrials,"New Britain, Connecticut",reports,Stanley Black & Decker,0.0,0.0,1.2142442602079797,0.0,0.0,0
SBUX,829224,0,1971,Restaurants,Consumer Discretionary,"Seattle, Washington",reports,Starbucks Corp.,0.0,0.0,0.6912764725921675,0.0,0.0,1
STT,93751,0,0,Asset Management & Custody Banks,Financials,"Boston, Massachusetts",reports,State Street Corp.,-0.1447748312540287,0.0,1.1613167966670903,0.0,0.0,0
SYK,310764,12/12/2000,0,Health Care Equipment,Health Care,"Kalamazoo, Michigan",reports,Stryker Corp.,0.1481546448322079,0.0,0.9813911763139612,0.0,0.0,0
SYF,1601712,11/18/2015,2003,Consumer Finance,Financials,"Stamford, Connecticut",reports,Synchrony Financial,-0.3014743742296505,0.0,1.1220629911587905,0.0,0.0,6
SNPS,883241,3/16/2017,0,Application Software,Information Technology,"Mountain View, California",reports,Synopsys Inc.,0.0,0.0006920409338332636,1.1016328647328943,0.0,0.0,7
SYY,96021,12/31/1986,0,Food Distributors,Consumer Staples,"Houston, Texas",reports,Sysco Corp.,0.0,0.0,0.6343263701751538,0.0,0.0,1
TROW,1113169,0,1937,Asset Management & Custody Banks,Financials,"Baltimore, Maryland",reports,T. Rowe Price Group,0.0,0.0,1.22553279824905,0.0,0.0,0
TGT,27419,12/31/1976,0,General Merchandise Stores,Consumer Discretionary,"Minneapolis, Minnesota",reports,Target Corp.,0.0,0.0,0.7746219806490385,0.0,0.0,1
TEL,1385157,10/17/2011,0,Electronic Manufacturing Services,Information Technology,"Schaffhausen, Switzerland",reports,TE Connectivity Ltd.,-0.1053144311858291,0.0,1.094312838367955,0.0,0.0,0
FTI,1681459,6/5/2009,2017 (1958),Oil & Gas Equipment & Services,Energy,"London, United Kingdom",reports,TechnipFMC,0.2356079882903496,0.0,1.0868891770619444,0.0,0.08741012971971855,3
TXN,97476,0,1930,Semiconductors,Information Technology,"Dallas, Texas",reports,Texas Instruments,0.0,0.0,1.2924134719450744,0.0,0.0,0
TXT,217346,12/31/1978,0,Aerospace & Defense,Industrials,"Providence, Rhode Island",reports,Textron Inc.,-0.1719504296239235,0.0,1.0766861400932293,0.0,0.0,6
TMO,97745,0,2006 (1902),Life Sciences Tools & Services,Health Care,"Waltham, Massachusetts",reports,Thermo Fisher Scientific,0.1256753083553047,0.0,1.125138825454128,0.0,0.0,0
TIF,98246,6/21/2000,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"New York, New York",reports,Tiffany & Co.,0.0,0.0,0.9280461915422944,0.0,0.0,0
TJX,109198,9/30/1985,0,Apparel Retail,Consumer Discretionary,"Framingham, Massachusetts",reports,TJX Companies Inc.,0.0,0.0,0.7165630877311973,0.0,0.0,1
TSCO,916365,1/24/2014,0,Specialty Stores,Consumer Discretionary,"Brentwood, Tennessee",reports,Tractor Supply Company,0.0,0.0,0.8618236690231964,0.0,0.0,0
TDG,1260221,6/3/2016,0,Aerospace & Defense,Industrials,"Cleveland, Ohio",reports,TransDigm Group,0.0,0.0,1.0829058031449341,0.0,0.0,0
TRV,86312,8/21/2002,0,Property & Casualty Insurance,Financials,"New York, New York",reports,The Travelers Companies Inc.,0.0,0.0,0.7171870954780062,0.0,0.0,1
TSN,100493,0,0,Packaged Foods & Meats,Consumer Staples,"Springdale, Arkansas",reports,Tyson Foods,0.0,0.0,0.7170730511691904,0.0,-0.12213929004576388,1
UDR,74208,3/7/2016,0,Residential REITs,Real Estate,"Highlands Ranch, Colorado",reports,"UDR, Inc.",0.0,0.0,0.4600373819281794,0.0,0.0,1
ULTA,1403568,4/18/2016,1990,Specialty Stores,Consumer Discretionary,"Bolingbrook, Illinois",reports,Ulta Beauty,0.0,0.0,0.8209828430542636,0.0,0.0,0
USB,36104,0,1968,Diversified Banks,Financials,"Minneapolis, Minnesota",reports,U.S. Bancorp,-0.2475737970114333,0.0,0.8156606440362978,0.0,0.0,6
UA,1336917,5/1/2014,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Baltimore, Maryland",reports,Under Armour Class C,0.0,0.0,1.2949605921649063,0.0,0.0,0
UAA,1336917,3/25/2016,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Baltimore, Maryland",reports,Under Armour Class A,0.0,0.0,1.2990348712516029,0.0,0.0,0
UNP,100885,0,0,Railroads,Industrials,"Omaha, Nebraska",reports,Union Pacific Corp,0.0,0.0,1.070208733145456,0.0,0.0,0
UAL,100517,9/3/2015,0,Airlines,Industrials,"Chicago, Illinois",reports,United Airlines Holdings,-0.38173024883806905,0.0,1.0628834969653358,0.0,0.0,6
UNH,731766,7/1/1994,0,Managed Health Care,Health Care,"Minnetonka, Minnesota",reports,United Health Group Inc.,0.0,0.0,0.951887408876518,0.0,0.0,0
UPS,1090727,7/22/2002,0,Air Freight & Logistics,Industrials,"Atlanta, Georgia",reports,United Parcel Service,0.0,0.0,0.9629990648069692,0.0,0.0,0
URI,1067701,9/20/2014,0,Trading Companies & Distributors,Industrials,"Stamford, Connecticut",reports,"United Rentals, Inc.",0.0,0.0,1.7717247241684966,0.0,0.039378142952265605,0
UTX,101829,0,0,Aerospace & Defense,Industrials,"Hartford, Connecticut",reports,United Technologies,0.0,0.0,0.9538856476708534,0.0,0.0,0
UHS,352915,9/20/2014,0,Health Care Facilities,Health Care,"King of Prussia, Pennsylvania",reports,"Universal Health Services, Inc.",0.0,0.0,0.7182736048508677,0.0,0.0,1
UNM,5513,3/1/1994,0,Life & Health Insurance,Financials,"Chattanooga, Tennessee",reports,Unum Group,-0.4039031199061671,0.0,1.1546583660058527,0.0,0.0,6
VFC,103379,6/30/1979,0,"Apparel, Accessories & Luxury Goods",Consumer Discretionary,"Greensboro, North Carolina",reports,V.F. Corp.,0.0,0.0,0.8582790129582931,0.0,0.0,0
VLO,1035002,0,1980,Oil & Gas Refining & Marketing,Energy,"San Antonio, Texas",reports,Valero Energy,0.0,0.0,1.0175078645237827,0.0,0.0,0
VAR,203527,2/12/2007,0,Health Care Equipment,Health Care,"Palo Alto, California",reports,Varian Medical Systems,0.0,0.0,0.8984106385184988,0.0,0.0,0
VTR,740260,3/4/2009,0,Health Care REITs,Real Estate,"Chicago, Illinois",reports,Ventas Inc,0.22487347978047173,0.0,0.3402131675853376,0.0,0.0,1
VRSN,1014473,2/1/2006,0,Internet Services & Infrastructure,Information Technology,"Dulles, Virginia",reports,Verisign Inc.,0.0,0.0,1.0484623757641671,0.0,0.0,0
VRSK,1442145,10/8/2015,0,Research & Consulting Services,Industrials,"Jersey City, New Jersey",reports,Verisk Analytics,0.0,0.0,0.8431628483703971,0.0,0.0,0
VZ,732712,11/30/1983,0,Integrated Telecommunication Services,Communication Services,"New York, New York",reports,Verizon Communications,0.0,0.0,0.4754270275098492,0.0,0.0,1
VRTX,875320,9/23/2013,0,Biotechnology,Health Care,"Cambridge, Massachusetts",reports,Vertex Pharmaceuticals Inc,0.0,0.0,1.3891489731327955,0.0,0.0,0
V,1403161,12/21/2009,0,Data Processing & Outsourced Services,Information Technology,"San Francisco, California",reports,Visa Inc.,0.0,0.0,1.194831309965796,0.0,0.0,0
VNO,899689,0,0,Office REITs,Real Estate,"New York, New York",reports,Vornado Realty Trust,0.0,0.0,0.6158735528197844,0.0,0.0,1
VMC,1396009,6/30/1999,0,Construction Materials,Materials,"Birmingham, Alabama",reports,Vulcan Materials,0.0,0.0,1.095561900906811,0.0,0.0,0
WMT,104169,8/31/1982,0,Hypermarkets & Super Centers,Consumer Staples,"Bentonville, Arkansas",reports,Walmart,0.0,0.0,0.6253025901078767,0.0,0.0,1
WBA,1618921,12/31/1979,2014,Drug Retail,Consumer Staples,"Deerfield, Illinois",reports,Walgreens Boots Alliance,0.0,0.0,0.8789914847495444,0.0,0.0,0
DIS,1001039,6/30/1976,0,Movies & Entertainment,Communication Services,"Burbank, California",reports,The Walt Disney Company,0.0,0.0,0.7840010926852041,0.0,0.0,1
WM,823768,0,1968,Environmental & Facilities Services,Industrials,"Houston, Texas",reports,Waste Management Inc.,0.0,0.0,0.6338658211165269,0.0,0.0,1
WAT,1000697,0,1958,Health Care Distributors,Health Care,"Milford, Massachusetts",reports,Waters Corporation,0.0,0.0,0.989268685887495,0.0,0.0,0
WEC,783325,10/31/2008,0,Electric Utilities,Utilities,"Milwaukee, Wisconsin",reports,Wec Energy Group Inc,0.1896299434949177,0.0,0.22545295972925716,0.0,0.0,1
WFC,72971,6/30/1976,0,Diversified Banks,Financials,"San Francisco, California",reports,Wells Fargo,-0.33540702476780143,0.0,0.9350196037025448,-0.0002077330283345896,-0.023018736443017402,5
WDC,106040,7/1/2009,0,"Technology Hardware, Storage & Peripherals",Information Technology,"Irvine, California",reports,Western Digital,0.0,0.0,1.4940996329840286,0.0,0.0,0
WU,1365135,0,1851,Data Processing & Outsourced Services,Information Technology,"Englewood, Colorado",reports,Western Union Co,0.0,0.0,0.7488381794469592,0.0,0.022744269691717788,1
WRK,1636023,0,2015,Paper Packaging,Materials,"Richmond, Virginia",reports,WestRock,0.0,0.0,1.1927255189021069,0.0,0.0,0
WY,106535,0,0,Specialized REITs,Real Estate,"Federal Way, Washington",reports,Weyerhaeuser,0.18737710810944905,0.0,0.8576844580722744,0.0,0.0,1
WHR,106640,0,1911,Household Appliances,Consumer Discretionary,"Benton Harbor, Michigan",reports,Whirlpool Corp.,0.0,0.0,0.9794207584985642,0.0,0.0,0
WMB,107263,3/31/1975,0,Oil & Gas Storage & Transportation,Energy,"Tulsa, Oklahoma",reports,Williams Cos.,0.18718741077799209,0.0,0.8959567627879927,0.0,0.05520674909316371,3
WLTW,1140536,1/5/2016,0,Insurance Brokers,Financials,"London, United Kingdom",reports,Willis Towers Watson,0.0,0.0,0.7306035555361251,0.0,-0.020855327396779186,1
WYNN,1174922,11/14/2008,0,Casinos & Gaming,Consumer Discretionary,"Paradise, Nevada",reports,Wynn Resorts Ltd,0.0,0.0,1.1614744712157012,0.0,0.044619811555323394,0
XEL,72903,0,1909,Multi-Utilities,Utilities,"Minneapolis, Minnesota",reports,Xcel Energy Inc,0.1532997742871171,0.0,0.20441221184666866,0.0,0.0,1
XRX,108772,0,1906,"Technology Hardware, Storage & Peripherals",Information Technology,"Norwalk, Connecticut",reports,Xerox,0.0,0.0,1.1038703158306622,0.0,0.0,0
XLNX,743988,11/8/1999,0,Semiconductors,Information Technology,"San Jose, California",reports,Xilinx,0.0,0.0,1.4089276999530846,0.0,0.0,0
XYL,1524472,11/1/2011,0,Industrial Machinery,Industrials,"White Plains, New York",reports,Xylem Inc.,0.0,0.0,1.0644553629974878,0.0,0.0,0
YUM,1041061,10/6/1997,0,Restaurants,Consumer Discretionary,"Louisville, Kentucky",reports,Yum! Brands Inc,0.0,0.0,0.7350805200839117,0.0,0.0,1
ZBH,1136869,8/7/2001,0,Health Care Equipment,Health Care,"Warsaw, Indiana",reports,Zimmer Biomet Holdings,0.1700709151684133,0.0,0.9617429475786516,0.0,0.0,0
ZION,109380,6/22/2001,0,Regional Banks,Financials,"Salt Lake City, Utah",reports,Zions Bancorp,-0.4748612107984034,0.0,1.025763874272575,0.0,0.0,6
ZTS,1555280,6/21/2013,0,Pharmaceuticals,Health Care,"Florham Park, New Jersey",reports,Zoetis,0.0,0.0,1.0103476269583642,0.0,0.0,0
